"Story","Title","Result","Date","Stability","Duration (s)"
"Verify correct login on the page product store and make a purchase by adding prod<ucts to the cart","Verify correct login","ERROR","2023-10-02T20:03:06.8589772-05:00[America/Bogota]","0.0","27.07"
"Verify correct login on the page product store and make a purchase by adding prod<ucts to the cart","Verify correct login","ERROR","2023-10-02T20:03:06.8589772-05:00[America/Bogota]","0.0","27.07"
