"Story","Title","Result","Date","Stability","Duration (s)"
"Register a new user on the page product store","Register on the page PRODUCT STORE","SUCCESS","2023-09-30T20:08:28.2120417-05:00[America/Bogota]","0.0","6.01"
"Register a new user on the page product store","Login on the page PRODUCT STORE","SUCCESS","2023-09-30T20:08:39.3673003-05:00[America/Bogota]","0.0","5.89"
"Register a new user on the page product store","make a purchase on the page PRODUCT STORE","SUCCESS","2023-09-30T20:12:19.305646-05:00[America/Bogota]","0.0","6.68"
